Ont name,Classification time (ms),Reasoner
013ee5a1-63bc-4f12-92dc-04492eecbc9a_rus_05.03f.owl_functional.owl,43227.5,HERMIT
01412b45-9f6a-40bf-bf89-603b7566cfb4_edas.owl_functional.owl,2142.5,HERMIT
0145d471-5428-4bf1-acff-fec7e5213789_regulation.owl_functional.owl,85228.5,HERMIT
01648f49-5e2f-4439-abfa-4bdf96aa7226_vivocore0.9.owl_functional.owl,2186,HERMIT
01732031-cfd0-4eef-b650-2e1262b7426d_Eel.rdf_functional.owl,1932.5,HERMIT
017583af-b800-4fb9-bed8-b9ff82e81c8b_nGeolFault.owl_functional.owl,206173.5,HERMIT
0178f9d7-734b-4a2d-9102-6bc23e102a6c_rtbouillon.rdf_functional.owl,1986,HERMIT
01821301-2b82-4dbf-bfa4-997791190fab_onto.rdf_functional.owl,1821.5,HERMIT
018599de-413f-460d-9d21-864172b46e6b_ale_Cheese.ttl_functional.owl,1939,HERMIT
0189e0b6-51b1-4778-a839-9e9045f9cbee_Collection_functional.owl,1545,HERMIT
01a91626-d2d6-46eb-83ff-f20d3b5c613d_Hacksaw.rdf_functional.owl,1930.5,HERMIT
01a9fa16-c357-40d2-a625-186f49e6c3fd_PATO_functional.owl,4203,HERMIT
01af339b-32bc-423c-ad1f-1bbc5b3ba3da_ogy_v3.0.1.rdf_functional.owl,4132.5,HERMIT
01bb45bb-9a9a-4854-97c8-57f9bcfc0ea3_eryContext.owl_functional.owl,1970.5,HERMIT
01bdcebb-e832-476c-b07b-ffc02b658816_ls20060216.owl_functional.owl,12098,HERMIT
01caf241-5309-4838-bc06-9dcaedf819c6_color.owl_functional.owl,2269,HERMIT
01cfcf57-b094-4864-a354-d08954c087dc_Endy.rdf_functional.owl,1801.5,HERMIT
01db9b9a-d7f8-460b-9dd2-e39a70fcdd18_chemState.owl_functional.owl,6812.5,HERMIT
01e6c221-0cc3-4315-9d50-aad6d8f1dc4d_MAT.obo_functional.owl,1637.5,HERMIT
01f0c2d3-7480-48d6-bd7f-27b8e8b74065_Saumagen.rdf_functional.owl,1990.5,HERMIT
020eda87-e823-4be9-a0b0-5c28c7a506ce_nci_anatomy.owl_functional.owl,5001.5,HERMIT
0232d9d1-3df9-487e-bc5f-80b9ff536917_onOntology.owl_functional.owl,162573,HERMIT
02359e23-1f62-4cf6-83b4-2d75088fc4b6_lom.owl_functional.owl,1097,HERMIT
0236fd90-bb5c-4c11-ac91-d3be2fa17611_es_bridge.owl2_functional.owl,10174.5,HERMIT
0257b687-cee5-4e5d-a63e-014574992c3a_PaulFisher.rdf_functional.owl,4180.5,HERMIT
026f5fd3-4edc-41a7-9a5d-a3a1d722329a_neistituto.owl_functional.owl,1853,HERMIT
02730161-0e8e-4b16-ad57-55b21ee2a875_cipitation.owl_functional.owl,199282,HERMIT
027cc527-79ca-4a19-96c0-8e7f8c78e07f_oboespatial.owl_functional.owl,1929,HERMIT
028dbdf6-a47b-4b86-92e6-cd41618f68ff_n_solenoid.rdf_functional.owl,1965.5,HERMIT
028f4d47-8b9f-4408-9f32-f64909152c1c_onto.rdf_functional.owl,1509,HERMIT
0294e2a0-f4dd-4512-9757-ec1833a54899_erver2codo.owl_functional.owl,4922,HERMIT
029da1e2-d033-4a02-9b70-740b03a8511a_Salamander.rdf_functional.owl,1974.5,HERMIT
02b17082-5f51-41ee-8750-74f7c79c3026_Actor.owl_functional.owl,1215,HERMIT
02b5145a-535c-4f9e-bc59-77b88d8203c0_Persipan.rdf_functional.owl,1970.5,HERMIT
02b9a9ad-625c-464c-bca9-319973ed04c5_POWER1.ttl_functional.owl,1957,HERMIT
02cab621-075b-4d6a-b4f8-e6126e76c481_nfexternal.owl_functional.owl,1251,HERMIT
02e2b44c-fd7e-4c75-8786-7ba4d17a2d8a_mcomplexproton_functional.owl,3600000,HERMIT
02e7a214-561d-41a0-bda7-e169770102de_Wine_rack.ttl_functional.owl,2155,HERMIT
02f7e0e7-5978-4e16-b396-c461362525e6_SAO.owl_functional.owl,3943.5,HERMIT
030a2d27-324e-4ca3-a103-30174890fb72_v1.owl_functional.owl,1952.5,HERMIT
031191c6-b4f6-46b7-bc5d-4755e3836523_fbspsimple.owl_functional.owl,6696,HERMIT
031f40c1-5d36-45f7-ae09-eed52122addb_preonto.rdf_functional.owl,1890.5,HERMIT
034963eb-e47b-4f28-84cc-3b775b35b6d8_v1.nt_functional.owl,1644,HERMIT
034dfba3-de08-41c0-a828-1e4fd9ffacfa_ct.obo.CURRENT_functional.owl,3278,HERMIT
0380cb4f-84df-4cdf-a1cb-3a60480f285d_Mohnnudel.rdf_functional.owl,1948,HERMIT
03898ebd-78bc-41f7-ae80-bcb3172df6e4_Twoman_saw.ttl_functional.owl,1949,HERMIT
